Year,Consumption,RealPrice,RealNationalIncome
1924,395.5,24.2,3391
1925,398.7,24.4,3640
1926,403.1,25,3567
1927,410,25.2,3827
1928,417.4,25.7,3843
1929,430,23,3928
1930,440,22,4017
1931,456,22.3,3877
1932,455,21.4,3922
1933,435.3,22.6,4162
1934,430.5,24.2,4419
1935,441.5,24.2,4656
1936,438.5,24.8,4850
