Ship,Line,YearBlt,Tonnage,passngrs,Length,Cabins,Crew,PassSpcR,outcab
Paul Gauguin,Regent Seven Seas,1997,19200,320,513,160,211,60,160
Voyager,Regent Seven Seas,2003,46000,700,670,182,447,65.71,182
Adventure,Royal Caribbean,2001,138000,3114,1020,1557,1185,44.32,939
Brilliance,Royal Caribbean,2002,90090,2501,962,1050,848,36.02,813
Empress ,Royal Caribbean,1990,48563,2020,692,800,671,24.04,471
Enchantment,Royal Caribbean,1997,74137,1950,916,975,760,38.02,576
Explorer    ,Royal Caribbean,2000,138000,3114,1020,1557,1176,44.32,939
Freedom,Royal Caribbean,2006,158000,4370,1112,1800,1360,36.16,1067
Grandeur,Royal Caribbean,1996,74137,1950,916,975,760,38.02,576
Independence,Royal Caribbean,2008,160000,3634,1112,1817,1360,44.03,1084
Jewel,Royal Caribbean,2004,90090,2501,962,1094,869,36.02,813
Legend,Royal Caribbean,1995,70000,1800,867,900,720,38.89,575
Liberty ,Royal Caribbean,2007,158000,4370,1125,1800,1360,36.16,1077
Majesty,Royal Caribbean,1992,73941,2744,880,1175,822,26.95,732
Mariner,Royal Caribbean,2003,138000,3114,1020,1557,1185,44.32,939
Monarch,Royal Caribbean,1991,73941,2744,880,1177,822,30.94,732
Navigator,Royal Caribbean,2002,138000,3114,1020,1557,1185,44.32,939
Oasis,Royal Caribbean,2009,220000,5400,1182,2700,2100,40.74,1670
Radiance,Royal Caribbean,2001,90090,2501,962,1050,868,36.02,843
Rhapsody,Royal Caribbean,1997,78491,2435,915,1000,765,32.23,593
Serenade,Royal Caribbean,2003,90090,2501,962,1050,858,36.02,813
Sovreign,Royal Caribbean,1988,73192,2852,880,1138,808,25.66,722
Splendour,Royal Caribbean,1996,70000,2076,867,902,720,33.72,575
Vision,Royal Caribbean,1998,78491,2435,915,1000,660,32.23,593
Voyager,Royal Caribbean,1999,138000,3114,1020,1557,1176,44.32,939
Legend,Seabourn,1992,10000,208,440,104,160,48.08,104
Pride,Seabourn,1986,10000,208,440,104,160,48.08,104
Spirit,Seabourn,1989,10000,208,440,104,160,48.08,104
Cloud,Silversea,1994,16800,296,514,148,210,56.76,148
Shadow,Silversea,2000,25000,382,597,194,295,65.45,194
Whisper,Silversea,2001,25000,388,597,194,287,64.43,194
Wind,Silversea,1994,16800,296,514,148,197,56.76,148
Aries,Star,1991,3341,66,280,33,59,50.62,33
Gemini,Star,1992,19093,800,537,400,470,23.87,179
Libra,Star,2001,42000,1480,713,740,680,28.38,507
Pisces,Star,1989,40053,1287,579,776,750,31.12,258
Taurus,Star,1991,3341,66,279,33,59,50.62,33
Virgo,Star,1999,76800,1960,879,967,1200,39.18,608
Spirit,Windstar,1988,5350,158,440,74,88,33.86,74
Star,Windstar,1986,5350,167,440,74,88,32.04,74
Surf,Windstar,1990,14745,308,617,156,180,47.87,156
