Rank,Gr2de,Channel name,Video Uploads,Subscribers,Video views
121st,2,BillionSurpriseToys - Nursery…,223,16271451,5183283439
122nd,2,shakiraVEVO,142,19689891,14533614800
123rd,2,Super Simple Songs - Kids Songs,445,11419859,10528195079
124th,2,Fischer's-フィッシャーズ-,1626,5015503,5418686430
125th,2,Animal Family,25,5032200,735698294
126th,2,Alan Walker,141,17225892,4666424253
127th,2,TheEllenShow,9066,27765423,13403860667
128th,2,Family Fun Pack,1253,7552928,10014750723
129th,2,SebastianYatraVEVO,21,2851437,2034588299
130th,2,For Kids Learn,66,647110,129490054
131st,2,Fozi Mozi,645,3564584,3232333195
132nd,2,Osman Vargas,884,3463566,3661895184
133rd,2,AnuelVEVO,29,1100382,651668495
134th,2,Goldmines,143,4679372,341081506
135th,2,Oops Zeros,514,548850,104953122
136th,2,Miss Katy,605,9684269,5704760485
137th,2,Las Ratitas,83,5768549,1308569692
138th,2,Marília Mendonça,69,9254263,5295016523
139th,2,LEGO,19293,6207095,8118958980
140th,2,Scopian01,801,1319834,1219988066
141st,2,Sonotek Haryanvi,6370,5873167,2130708836
142nd,2,DuDuPopTOY,683,4181344,2171187145
143rd,2,ChiChi TV Siêu Nhân,421,-- ,2600394871
144th,2,MusicTalentNow,1487,-- ,3252752212
145th,2,YoungBoy Never Broke Again,186,3318535,1665788162
146th,2,Rotana,5635,8539250,5738075498
147th,2,Volga Video,28663,6498020,3366976772
148th,2,Trap Nation,1458,22331643,7760362155
149th,2,FunFun ToyShow,447,4533982,1881201276
150th,2,EminemVEVO,80,26650488,11317532576
151st,2,Sonotek,8324,6591994,2590857091
152nd,2,KanalD,11237,3495070,5091658907
153rd,2,Family GamesTV,282,-- ,1287242549
154th,2,ZeeQ India,336,2435635,1105398427
155th,2,Nick Jr.,1817,3698840,3081781019
156th,2,eltrece,79561,4386345,4279834573
157th,2,KH Show,31,-- ,106302038
158th,2,Worldwide Records Bhojpuri,1872,5264436,2669933333
159th,2,Marshmello,187,19005512,3242956390
160th,2,Geet MP3,144,5743286,1341490754
161st,2,KiKiDo,263,2390570,1130123412
162nd,2,CanalKids HD,1500,4298926,1719001155
163rd,2,Toys And Little Gaby,192,4016859,859912280
164th,2,Lady Diana,183,2417650,675927454
165th,2,Mazhavil Manorama,28157,3021268,2625773225
166th,2,etvteluguindia,61222,4560715,4163302219
167th,2,Rainbow ToyTocToc,204,2503093,609961488
168th,2,Ultra Music,3586,14813447,9083272850
169th,2,Boo Kids,19,574063,114287401
170th,2,Boram Tube Vlog [보람튜브…,53,595409,145148497
171st,2,ThaiCh8 : ช่อง 8,41034,4830567,3581877042
172nd,2,Baby Big Mouth,3177,9038516,10463073138
173rd,2,Daddy Yankee,319,16490453,5770555736
174th,2,Televisa Telenovelas,14374,5195767,2964680826
175th,2,Dude Perfect,185,34489432,6095981611
176th,2,LES BOYS TV2,116,-- ,387595623
177th,2,LuisFonsiVEVO,54,18753006,9179054584
178th,2,BabyBus - Kids TV - Songs & Stories,1582,2217196,1547446077
179th,2,YRF Music,1047,5555085,2810150130
180th,2,1000virtudes,59,770249,170131284
181st,2,BIBO TOYS,313,-- ,1574657579
182nd,2,Team Films Bhojpuri,14690,4481993,2147683870
