ID,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim
201203016417,2012030164,17,home,TRUE,OT,Mike Babcock,3,49,38,6
201203016517,2012030165,17,away,FALSE,OT,Mike Babcock,2,31,19,8
201203016524,2012030165,24,home,TRUE,OT,Bruce Boudreau,3,34,32,11
201203016624,2012030166,24,away,FALSE,OT,Bruce Boudreau,3,37,25,6
201203016617,2012030166,17,home,TRUE,OT,Mike Babcock,4,29,24,0
201203016717,2012030167,17,away,TRUE,REG,Mike Babcock,3,32,18,10
201203016724,2012030167,24,home,FALSE,REG,Bruce Boudreau,2,33,34,6
20120301112,2012030111,2,away,FALSE,REG,Jack Capuano,0,26,41,51
20120301115,2012030111,5,home,TRUE,REG,Dan Bylsma,5,26,36,38
20120301122,2012030112,2,away,TRUE,REG,Jack Capuano,4,42,31,15
20120301125,2012030112,5,home,FALSE,REG,Dan Bylsma,3,33,28,15
20120301135,2012030113,5,away,TRUE,OT,Dan Bylsma,5,25,33,8
20120301132,2012030113,2,home,FALSE,OT,Jack Capuano,4,36,35,12
20120301145,2012030114,5,away,FALSE,REG,Dan Bylsma,4,31,26,15
20120301142,2012030114,2,home,TRUE,REG,Jack Capuano,6,24,33,11
20120301152,2012030115,2,away,FALSE,REG,Jack Capuano,0,31,27,36
20120301155,2012030115,5,home,TRUE,REG,Dan Bylsma,4,31,33,30
20120301165,2012030116,5,away,TRUE,OT,Dan Bylsma,4,21,23,6
20120301162,2012030116,2,home,FALSE,OT,Jack Capuano,3,38,31,2
20120301313,2012030131,3,away,FALSE,REG,John Tortorella,1,36,41,12
201203013115,2012030131,15,home,TRUE,REG,Adam Oates,3,30,32,10
20120301323,2012030132,3,away,FALSE,OT,John Tortorella,0,24,58,8
201203013215,2012030132,15,home,TRUE,OT,Adam Oates,1,38,50,10
201203013315,2012030133,15,away,FALSE,REG,Adam Oates,3,31,22,12
20120301333,2012030133,3,home,TRUE,REG,John Tortorella,4,30,33,6
201203013415,2012030134,15,away,FALSE,REG,Adam Oates,3,30,20,8
20120301343,2012030134,3,home,TRUE,REG,John Tortorella,4,34,38,4
20120301353,2012030135,3,away,FALSE,OT,John Tortorella,1,25,43,4
201203013515,2012030135,15,home,TRUE,OT,Adam Oates,2,35,53,8
201203013615,2012030136,15,away,FALSE,REG,Adam Oates,0,27,28,14
20120301363,2012030136,3,home,TRUE,REG,John Tortorella,1,29,33,4
20120301373,2012030137,3,away,TRUE,REG,John Tortorella,5,27,41,4
201203013715,2012030137,15,home,FALSE,REG,Adam Oates,0,35,39,14
201203032126,2012030321,26,away,FALSE,REG,Darryl Sutter,1,22,44,8
201203032116,2012030321,16,home,TRUE,REG,Joel Quenneville,2,36,38,4
201203032226,2012030322,26,away,FALSE,REG,Darryl Sutter,2,31,46,8
201203032216,2012030322,16,home,TRUE,REG,Joel Quenneville,4,26,36,14
201203032316,2012030323,16,away,FALSE,REG,Joel Quenneville,1,20,26,12
201203032326,2012030323,26,home,TRUE,REG,Darryl Sutter,3,28,36,6
201203032416,2012030324,16,away,TRUE,REG,Joel Quenneville,3,28,17,6
201203032426,2012030324,26,home,FALSE,REG,Darryl Sutter,2,21,31,8
201203032526,2012030325,26,away,FALSE,OT,Darryl Sutter,3,36,62,4
201203032516,2012030325,16,home,TRUE,OT,Joel Quenneville,4,35,42,4
201603017120,2016030171,20,away,FALSE,REG,Glen Gulutzan,2,32,33,14
201603017124,2016030171,24,home,TRUE,REG,Randy Carlyle,3,41,30,10
201603017220,2016030172,20,away,FALSE,REG,Glen Gulutzan,2,37,34,17
201603017224,2016030172,24,home,TRUE,REG,Randy Carlyle,3,29,38,15
201603017324,2016030173,24,away,TRUE,OT,Randy Carlyle,5,27,23,12
201603017320,2016030173,20,home,FALSE,OT,Glen Gulutzan,4,32,28,2
201603017424,2016030174,24,away,TRUE,REG,Randy Carlyle,3,25,15,6
201603017420,2016030174,20,home,FALSE,REG,Glen Gulutzan,1,37,28,4
201403041116,2014030411,16,away,TRUE,REG,Joel Quenneville,2,21,21,4
201403041114,2014030411,14,home,FALSE,REG,Jon Cooper,1,23,29,6
201403041216,2014030412,16,away,FALSE,REG,Joel Quenneville,3,29,28,6
201403041214,2014030412,14,home,TRUE,REG,Jon Cooper,4,24,33,6
201403041314,2014030413,14,away,TRUE,REG,Jon Cooper,3,32,46,6
201403041316,2014030413,16,home,FALSE,REG,Joel Quenneville,2,38,27,6
201403041414,2014030414,14,away,FALSE,REG,Jon Cooper,1,25,46,6
201403041416,2014030414,16,home,TRUE,REG,Joel Quenneville,2,19,34,8
201403041516,2014030415,16,away,TRUE,REG,Joel Quenneville,2,29,15,2
201403041514,2014030415,14,home,FALSE,REG,Jon Cooper,1,32,37,4
201403041614,2014030416,14,away,FALSE,REG,Jon Cooper,0,25,56,6
201403041616,2014030416,16,home,TRUE,REG,Joel Quenneville,2,32,32,2
20150301413,2015030141,3,away,FALSE,REG,Alain Vigneault,2,37,50,10
20150301415,2015030141,5,home,TRUE,REG,Mike Sullivan,5,31,35,10
20150301423,2015030142,3,away,TRUE,REG,Alain Vigneault,4,28,57,19
20150301425,2015030142,5,home,FALSE,REG,Mike Sullivan,2,31,25,15
20150301435,2015030143,5,away,TRUE,REG,Mike Sullivan,3,31,30,12
20150301433,2015030143,3,home,FALSE,REG,Alain Vigneault,1,17,41,10
20150301445,2015030144,5,away,TRUE,REG,Mike Sullivan,5,32,22,10
20150301443,2015030144,3,home,FALSE,REG,Alain Vigneault,0,31,29,14
20150301453,2015030145,3,away,FALSE,REG,Alain Vigneault,3,41,47,6
20150301455,2015030145,5,home,TRUE,REG,Mike Sullivan,6,28,31,8
201503018128,2015030181,28,away,TRUE,REG,Peter DeBoer,4,23,32,6
201503018126,2015030181,26,home,FALSE,REG,Darryl Sutter,3,24,36,8
201503018228,2015030182,28,away,TRUE,REG,Peter DeBoer,2,23,40,10
201503018226,2015030182,26,home,FALSE,REG,Darryl Sutter,1,27,47,10
201503018326,2015030183,26,away,TRUE,OT,Darryl Sutter,2,24,61,12
201503018328,2015030183,28,home,FALSE,OT,Peter DeBoer,1,30,39,8
201503018426,2015030184,26,away,FALSE,REG,Darryl Sutter,2,28,46,8
201503018428,2015030184,28,home,TRUE,REG,Peter DeBoer,3,29,35,4
201503018528,2015030185,28,away,TRUE,REG,Peter DeBoer,6,28,30,2
201503018526,2015030185,26,home,FALSE,REG,Darryl Sutter,3,22,39,6
201303016116,2013030161,16,away,FALSE,OT,Joel Quenneville,3,42,27,8
