cancel date,cancel date month,code,service code,service desc,staff,booking date,booking date month,canceled by,days in adv,avg price
6/21/2018,June,CARK01,SBD,Blowdry,KELLY,6/27/2018,June,JJ,6,45.64
6/21/2018,June,VARE01,SHCW,Women's hair cut,JJ,6/21/2018,June,BECKY,0,88.44
6/22/2018,June,SUNS01,SHCW,Women's hair cut,KELLY,6/27/2018,June,BECKY,5,56.05
6/22/2018,June,PET*01,SHCW,Women's hair cut,JJ,6/22/2018,June,KELLY,0,88.44
6/22/2018,June,.L01,SHCW,Women's hair cut,JJ,6/27/2018,June,KELLY,5,88.44
6/22/2018,June,AURM01,SHCW,Women's hair cut,JJ,6/23/2018,June,ADMIN,1,88.44
6/25/2018,June,DUFD01,CON,Consultation,JJ,6/29/2018,June,JJ,4,0
6/26/2018,June,FISV01,CFC,Color full color,JOANNE,6/30/2018,June,JJ,4,77.06
6/27/2018,June,JENP01,SHCC,Children (under 12),KELLY,6/28/2018,June,JJ,1,35
6/27/2018,June,MASA01,CBAL,Balayage,KELLY,6/27/2018,June,ADMIN,0,155.56
6/28/2018,June,OHA*01,SHCC,Children (under 12),BECKY,6/29/2018,June,KELLY,1,34
6/28/2018,June,MEIC01,SHCM,Men's hair cut,KELLY,6/28/2018,June,KELLY,0,38.8
6/28/2018,June,HELJ01,SHCM,Men's hair cut,BECKY,6/30/2018,June,BECKY,2,41.15
6/28/2018,June,MARK01,SHCW,Women's hair cut,BECKY,6/28/2018,June,BECKY,0,67.84
6/28/2018,June,EZIR01,SHCW,Women's hair cut,JJ,7/7/2018,July,BECKY,9,88.44
6/29/2018,June,TOPS01,SHCW,Women's hair cut,BECKY,6/30/2018,June,ADMIN,1,67.84
6/29/2018,June,GAD*01,CFC,Color full color,JOANNE,6/29/2018,June,BECKY,0,77.06
6/30/2018,June,WOOJ02,SHCM,Men's hair cut,BECKY,6/30/2018,June,JJ,0,41.15
6/30/2018,June,WOOD02,SBD,Blowdry,JJ,6/30/2018,June,JJ,0,44.55
6/30/2018,June,TAMA01,SHCW,Women's hair cut,KELLY,6/30/2018,June,BECKY,0,56.05
6/30/2018,June,TAMA01,CBAL,Balayage,KELLY,6/30/2018,June,BECKY,0,155.56
7/3/2018,July,KATM01,CON,Consultation,JOANNE,7/3/2018,July,JJ,0,0
7/3/2018,July,DEAM01,SHCM,Men's hair cut,KELLY,7/4/2018,July,JJ,1,38.8
7/3/2018,July,MASA01,SHCM,Men's hair cut,BECKY,7/10/2018,July,BECKY,7,41.15
7/3/2018,July,BREH01,SBD,Blowdry,JJ,7/7/2018,July,BECKY,4,44.55
7/3/2018,July,WONM02,SBD,Blowdry,JJ,7/21/2018,July,JJ,18,44.55
7/3/2018,July,NELT01,SBD,Blowdry,BECKY,7/3/2018,July,JOANNE,0,45.26
7/3/2018,July,SUNS01,SHCW,Women's hair cut,KELLY,7/3/2018,July,JJ,0,56.05
7/3/2018,July,DEYS01,CHLPL,Highlights partial,JOANNE,7/3/2018,July,JJ,0,147.73
7/4/2018,July,WANM01,SHCW,Women's hair cut,BECKY,7/6/2018,July,ADMIN,2,67.84
7/4/2018,July,JENP01,SHCW,Women's hair cut,JJ,7/4/2018,July,KELLY,0,88.44
7/4/2018,July,ARRM01,CFC,Color full color,JJ,7/7/2018,July,KELLY,3,
7/5/2018,July,HILJ01,SBD,Blowdry,BECKY,7/10/2018,July,BECKY,5,45.26
7/6/2018,July,DAJR01,CTU,Color touch up,JOANNE,7/6/2018,July,JJ,0,66.52
7/6/2018,July,DAJR01,SHCW,Women's hair cut,BECKY,7/6/2018,July,JJ,0,67.84
7/7/2018,July,ABL*01,SBD,Blowdry,KELLY,7/7/2018,July,JJ,0,45.64
7/7/2018,July,NIDN01,CTU,Color touch up,JOANNE,7/17/2018,July,JOANNE,10,66.52
7/9/2018,July,ELCB01,CTU,Color touch up,JOANNE,7/10/2018,July,JJ,1,66.52
7/9/2018,July,HEIM01,SHCW,Women's hair cut,BECKY,7/17/2018,July,JJ,8,67.84
7/10/2018,July,INFB01,CON,Consultation,KELLY,7/13/2018,July,BECKY,3,5
7/10/2018,July,KEIS01,SBD,Blowdry,TANYA,7/18/2018,July,JJ,8,22.78
7/10/2018,July,MASA01,SHCC,Children (under 12),JJ,7/11/2018,July,KELLY,1,24
7/10/2018,July,MUNM01,SHCC,Children (under 12),KELLY,7/11/2018,July,KELLY,1,35
7/10/2018,July,KEIS01,SHCW,Women's hair cut,BECKY,7/19/2018,July,JJ,9,67.84
7/10/2018,July,JACA01,CFC,Color full color,JOANNE,7/11/2018,July,BECKY,1,77.06
7/10/2018,July,JACA01,CFC,Color full color,JOANNE,7/11/2018,July,JJ,1,77.06
7/10/2018,July,JACA01,SHCW,Women's hair cut,JJ,7/11/2018,July,BECKY,1,88.44
7/10/2018,July,JACA01,SHCW,Women's hair cut,JJ,7/11/2018,July,BECKY,1,88.44
7/10/2018,July,JACA01,SHCW,Women's hair cut,JJ,7/11/2018,July,JJ,1,88.44
7/10/2018,July,JACA01,SHCW,Women's hair cut,JJ,7/11/2018,July,JJ,1,88.44
7/10/2018,July,SINM01,SHCW,Women's hair cut,JJ,7/12/2018,July,JJ,2,88.44
7/10/2018,July,SCHC01,CALC,Accent lights and color,JOANNE,7/27/2018,July,KELLY,17,127
7/10/2018,July,SCHC01,CALC,Accent lights and color,JOANNE,7/13/2018,July,KELLY,3,127
7/11/2018,July,HOFJ01,SBD,Blowdry,TANYA,7/11/2018,July,TANYA,0,22.78
7/12/2018,July,CARK01,SBD,Blowdry,KELLY,7/12/2018,July,TANYA,0,45.64
7/12/2018,July,JACA01,SHCW,Women's hair cut,JJ,7/12/2018,July,KELLY,0,88.44
7/12/2018,July,PET*01,SHCW,Women's hair cut,JJ,7/14/2018,July,TANYA,2,88.44
7/13/2018,July,LAMD01,CON,Consultation,JOANNE,7/14/2018,July,BECKY,1,0
7/13/2018,July,CAND01,CCAMO,Men's camo color,JJ,7/13/2018,July,TANYA,0,32.08
7/13/2018,July,SHMS01,SHCM,Men's hair cut,KELLY,7/13/2018,July,KELLY,0,38.8
7/13/2018,July,SIRM01,SBD,Blowdry,BECKY,7/20/2018,July,JOANNE,7,45.26
7/13/2018,July,KUCM02,CALC,Accent lights and color,JOANNE,7/17/2018,July,JJ,4,127
7/13/2018,July,LAMD01,CBAL,Balayage,JOANNE,7/13/2018,July,BECKY,0,192.5
7/13/2018,July,TOPS01,CBAL,Balayage,JOANNE,7/14/2018,July,JJ,1,192.5
7/14/2018,July,BROS01,SBD,Blowdry,BECKY,7/17/2018,July,JJ,3,45.26
7/14/2018,July,BROS01,SBD,Blowdry,BECKY,7/27/2018,July,JJ,13,45.26
7/15/2018,July,WOOD02,SBD,Blowdry,BECKY,7/15/2018,July,JJ,0,45.26
7/17/2018,July,FLAD01,SHCM,Men's hair cut,BECKY,8/25/2018,August,JJ,39,41.15
7/17/2018,July,FLAS01,SHCM,Men's hair cut,BECKY,8/28/2018,August,JJ,42,41.15
7/17/2018,July,KUKK01,SBD,Blowdry,BECKY,7/24/2018,July,JJ,7,45.26
7/17/2018,July,KUKK01,SBD,Blowdry,BECKY,7/31/2018,July,JJ,14,45.26
7/17/2018,July,KUKK01,SBD,Blowdry,KELLY,7/25/2018,July,JJ,8,45.64
7/17/2018,July,KUKK01,SBD,Blowdry,KELLY,7/26/2018,July,JJ,9,45.64
7/17/2018,July,THOD01,SHCM,Men's hair cut,JJ,7/17/2018,July,JOANNE,0,49.48
7/17/2018,July,LEEJ02,SHCM,Men's hair cut,JJ,7/24/2018,July,KELLY,7,49.48
7/17/2018,July,PAE01,SHCW,Women's hair cut,KELLY,9/21/2018,September,JJ,66,56.05
7/17/2018,July,STEL01,SHCW,Women's hair cut,JJ,7/17/2018,July,KELLY,0,88.44
7/17/2018,July,HUDM01,SHCW,Women's hair cut,JJ,7/20/2018,July,KELLY,3,88.44
7/17/2018,July,KUKK01,CALC,Accent lights and color,JOANNE,7/24/2018,July,JJ,7,127
7/17/2018,July,KUKK01,CALC,Accent lights and color,JOANNE,7/25/2018,July,JJ,8,127
7/17/2018,July,KUKK01,CALC,Accent lights and color,JOANNE,7/26/2018,July,JJ,9,127
7/18/2018,July,BORJ01,SHCM,Men's hair cut,JJ,7/18/2018,July,JJ,0,49.48
7/19/2018,July,TN01,CTU,Color touch up,TANYA,7/19/2018,July,TANYA,0,38.33
7/19/2018,July,SKUD01,SBD,Blowdry,BECKY,7/19/2018,July,TANYA,0,45.26
7/19/2018,July,LIAA01,FRI,Fringe cut,JJ,7/19/2018,July,TANYA,0,56.05
7/19/2018,July,OZDC02,CDPB,double process blonde,JOANNE,7/19/2018,July,KELLY,0,150
7/20/2018,July,APTM01,SHCM,Men's hair cut,JJ,7/21/2018,July,JOANNE,1,49.48
7/21/2018,July,?A01,SBD,Blowdry,KELLY,7/21/2018,July,TANYA,0,45.64
7/21/2018,July,DES01,SBD,Blowdry,KELLY,7/21/2018,July,KELLY,0,45.64
7/21/2018,July,DACJ01,SHCW,Women's hair cut,BECKY,7/24/2018,July,KELLY,3,67.84
7/21/2018,July,NEEL01,SHCW,Women's hair cut,JJ,7/28/2018,July,KELLY,7,88.44
7/21/2018,July,DES01,CALC,Accent lights and color,JOANNE,7/21/2018,July,KELLY,0,127
7/23/2018,July,BROS01,SBD,Blowdry,BECKY,7/28/2018,July,JJ,5,45.26
7/23/2018,July,HUDM01,SHCW,Women's hair cut,JJ,7/24/2018,July,JJ,1,88.44
7/24/2018,July,TRUA01,SHCM,Men's hair cut,KELLY,7/24/2018,July,TANYA,0,38.8
7/24/2018,July,BLAR01,SHCM,Men's hair cut,BECKY,7/24/2018,July,TANYA,0,41.15
7/24/2018,July,GOOA02,SHCW,Women's hair cut,JJ,7/26/2018,July,TANYA,2,88.44
7/24/2018,July,HENK01,SHCW,Women's hair cut,JJ,7/31/2018,July,TANYA,7,88.44
7/24/2018,July,HENK01,CHLPL,Highlights partial,JOANNE,7/24/2018,July,TANYA,0,147.73
7/24/2018,July,HENK01,CHLPL,Highlights partial,JOANNE,7/31/2018,July,TANYA,7,147.73
7/25/2018,July,ATMM01,SBD,Blowdry,JJ,7/26/2018,July,JJ,1,44.55
7/25/2018,July,TUMM01,CTU,Color touch up,JOANNE,8/4/2018,August,TANYA,10,66.52
7/26/2018,July,MEYN01,TRE 1,Treatments 1,JOANNE,7/27/2018,July,KELLY,1,16.25
7/26/2018,July,MEYN01,SBD,Blowdry,KELLY,7/27/2018,July,KELLY,1,45.64
7/26/2018,July,MEYN01,CFC,Color full color,JOANNE,7/27/2018,July,KELLY,1,77.06
7/27/2018,July,JONE01,SMARTBOND,Smart Bond,KELLY,7/27/2018,July,KELLY,0,37.81
7/27/2018,July,GOOA01,SHCW,Women's hair cut,JJ,7/28/2018,July,TANYA,1,88.44
7/27/2018,July,INGS01,CHLHH,Highlights half head,TANYA,7/27/2018,July,JOANNE,0,125
7/28/2018,July,WAX*01,SHCM,Men's hair cut,JJ,7/28/2018,July,JJ,0,49.48
7/28/2018,July,BROS01,SHCW,Women's hair cut,BECKY,7/31/2018,July,JJ,3,67.84
