JRC_code,purchCntry,prodCntry,Pb,sdPb,shade,prodType,priceCatgry
C192,PT,FR,0.53,0.19,Brown,LP,3
C161,DE,DE,0.46,0.01,Brown,LP,1
C148,LT,UK,0.42,0.03,Brown,LP,2
C178,CZ,DE,0.39,0.03,Brown,LP,2
C84,ES,Unknown,0.39,0.02,Brown,LP,1
C60,FR,FR,0.39,0.03,Brown,LP,3
C80,ES,Unknown,0.36,0.01,Brown,LP,1
C160,DE,DE,0.35,0.01,Brown,LP,1
C85,ES,DE,0.32,0.02,Brown,LP,1
C200,PT,USA,0.32,0.04,Brown,LP,2
C104,IT,IT,0.29,0.1,Brown,LP,1
C158,DE,DE,0.28,0.01,Brown,LP,1
C136,NL,NL,0.25,0.04,Brown,LP,2
C154,LT,FR,0.25,0.08,Brown,LP,2
C41,EL,EL,0.24,0.01,Brown,LP,1
C116,AT,DE,0.22,0.02,Brown,LP,1
C67,MT,IT,0.21,0.01,Brown,LP,1
C195,PT,FR,0.2,0.02,Brown,LP,2
C98,IT,DE,0.18,0.01,Brown,LP,1
C57,FR,FR,0.18,0.01,Brown,LP,3
C111,ES,IT,0.12,0.03,Brown,LP,3
C89,ES,FR,0.09,0.06,Brown,LP,3
C221,BE,JP,0.07,0.05,Brown,LP,3
C59,FR,FR,0.06,0.03,Brown,LP,3
C13,PL,IT,0.78,0.26,Red,LG,2
C128,NL,UK,0.56,0.23,Red,LG,2
C78,ES,Unknown,0.47,0.04,Red,LG,1
C188,PT,FR,0.27,0.01,Red,LG,3
C53,FR,FR,0.27,0.08,Red,LG,2
C199,PT,FR,0.23,0.05,Red,LG,2
C185,PT,UK,0.19,0.01,Red,LG,3
C168,DE,Unknown,0.18,0.07,Red,LG,1
C29,FI,DE,0.13,0.01,Red,LG,2
C74,MT,UK,0.09,0.07,Red,LG,2
C203,UK,USA,0.09,0.02,Red,LG,2
C217,BE,FR,0.08,0.02,Red,LG,2
C202,UK,USA,0.06,0.02,Red,LG,2
C110,IT,IT,0.04,0.01,Red,LG,1
C79,ES,DE,0.9,0.04,Purple,LG,2
C210,BE,FR,0.56,0.01,Purple,LG,3
C216,BE,FR,0.48,0.06,Purple,LG,2
C76,ES,Unknown,0.43,0.05,Purple,LG,1
C72,MT,USA,0.39,0.01,Purple,LG,3
C107,IT,IT,0.38,0.03,Purple,LG,1
C129,NL,FR,0.27,0.13,Purple,LG,2
C201,UK,USA,0.27,0.08,Purple,LG,2
C91,IT,DE,0.26,0.03,Purple,LG,1
C73,MT,FR,0.19,0.02,Purple,LG,2
C12,PL,IT,0.15,0.01,Purple,LG,2
C4,PL,SE,0.15,0.05,Purple,LG,2
C2,PL,FR,1.1,0.07,Pink,LG,3
C126,AT,DE,1.08,0.11,Pink,LG,1
C198,PT,FR,0.81,0.04,Pink,LG,2
C25,FI,UK,0.79,0.06,Pink,LG,2
C24,FI,SE,0.74,0.01,Pink,LG,2
C54,FR,FR,0.72,0.05,Pink,LG,2
C222,BE,FR,0.71,0.04,Pink,LG,3
C36,EL,FR,0.6,0.01,Pink,LG,3
C167,DE,FR,0.5,0.03,Pink,LG,2
C166,DE,FR,0.49,0.02,Pink,LG,2
C94,IT,DE,0.36,0.09,Pink,LG,1
C31,FI,FI,0.34,0.01,Pink,LG,2
C5,PL,FR,0.33,0.03,Pink,LG,2
C209,UK,FR,0.29,0.07,Pink,LG,3
C40,EL,EL,0.27,0.02,Pink,LG,2
C66,MT,FR,0.26,0.03,Pink,LG,2
C184,CZ,UK,0.24,0.08,Pink,LG,2
C28,FI,FI,0.21,0.01,Pink,LG,2
C125,AT,DE,0.2,0.03,Pink,LG,2
C106,IT,IT,0.2,0.08,Pink,LG,1
C109,IT,IT,0.2,0.02,Pink,LG,1
C1,PL,FR,0.2,0.01,Pink,LG,3
C100,IT,DE,0.18,0.01,Pink,LG,1
C92,IT,DE,0.12,0.02,Pink,LG,1
C93,IT,DE,0.12,0.01,Pink,LG,1
C45,EL,FR,0.1,0.01,Pink,LG,2
C27,FI,FI,0.1,0.07,Pink,LG,2
C174,CZ,Unknown,0.07,0.02,Pink,LG,1
C51,FR,FR,0.07,0.01,Pink,LG,2
C175,CZ,FR,0.04,0.01,Pink,LG,2
C127,NL,Unknown,2.12,0.17,Brown,LG,1
C176,CZ,DE,0.94,0.16,Brown,LG,2
C77,ES,Unknown,0.68,0.03,Brown,LG,1
C137,NL,NL,0.65,0.03,Brown,LG,2
C218,BE,FR,0.64,0.09,Brown,LG,2
C44,EL,DE,0.55,0.11,Brown,LG,2
C189,PT,FR,0.52,0.04,Brown,LG,3
C30,FI,FI,0.45,0.06,Brown,LG,2
C191,PT,FR,0.44,0.02,Brown,LG,3
C141,LT,DE,0.41,0.02,Brown,LG,2
C204,UK,USA,0.33,0.06,Brown,LG,3
C75,MT,IT,0.33,0.06,Brown,LG,2
C90,IT,DE,0.27,0.04,Brown,LG,1
C108,IT,IT,0.24,0.01,Brown,LG,1
C52,FR,FR,0.23,0.01,Brown,LG,2
C14,PL,FR,0.19,0.01,Brown,LG,2
C32,EL,DE,0.09,0.01,Brown,LG,1
C124,AT,FR,0.04,0.01,Brown,LG,2
