animal_id,sex,life_stage,pregnant,with_calf,death_cause,study_site,deploy_on_longitude,deploy_on_latitude,deploy_on_comments,deploy_off_longitude,deploy_off_latitude,deploy_off_type,deploy_off_comments,Date
GR_GC06,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/12/2019
GR_C15,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/12/2019
HR_151.000,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,11/11/2019
GR_GC23,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/11/2019
HR_151.780,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,11/11/2019
GR_GC04,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/11/2019
GR_GC11,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/11/2019
GR_C09,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/10/2019
HR_151.540,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,11/10/2019
GR_C22,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/10/2019
HR_151.701,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,11/10/2019
GR_GC18,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/9/2019
GR_C17,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/9/2019
HR_151.641,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,11/9/2019
GR_GC01,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/9/2019
HR_151.790,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,11/9/2019
GR_GC16,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/8/2019
GR_GC20,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,deployment end time set to exclude locations in Fort St John,11/8/2019
HR_151.559,f,NA,NA,NA,NA,Hart Ranges,NA,NA,NA,NA,NA,unknown,NA,11/8/2019
GR_C06,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/7/2019
GR_C04,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/7/2019
GR_C10,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/6/2019
GR_C08,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/6/2019
GR_C02,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/6/2019
GR_C09,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/6/2019
GR_C05,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/4/2019
GR_C12,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/4/2019
GR_C01,f,NA,NA,NA,NA,Graham,NA,NA,NA,NA,NA,unknown,NA,11/4/2019
KE_car004,f,NA,NA,NA,Predation - Wolf,Kennedy,-122.3872998,55.19803367,General capture location.,-122.4416668,55.14010822,dead,NA,11/4/2019
MO_car006,f,NA,NA,NA,Unknown,Moberly,-122.441041,55.8452695,General capture location.,-122.4869026,55.79959912,dead,NA,11/3/2019
HR_car002,f,NA,NA,NA,NA,Hart Ranges,-122.1123246,54.84585894,General capture location.,NA,NA,other,Not Monitored,11/3/2019
MO_car005,f,NA,NA,NA,Predation - Wolf,Moberly,-122.4126199,55.6115137,General capture location.,-122.4299303,55.57496066,dead,NA,11/3/2019
KE_car003,f,NA,NA,NA,Unknown.  Suspected predation,Kennedy,-122.3090656,55.17964289,General capture location.,-122.6507406,55.28844832,dead,NA,11/2/2019
HR_car001,f,NA,NA,NA,Unknown.  Suspected predation,Hart Ranges,-121.8955665,54.79914462,General capture location.,-122.1519024,54.87308473,dead,NA,11/2/2019
QU_car008,f,NA,NA,NA,Predation - Grizzly Bear,Quintette,-121.3759404,54.95508317,General capture location.,-121.2507174,54.95871159,dead,NA,11/2/2019
QU_car007,f,NA,NA,NA,NA,Quintette,-121.5144396,55.01077924,General capture location.,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,11/2/2019
MO_car010,f,NA,TRUE,NA,NA,Moberly,-122.4283635,55.62057375,General capture location.,NA,NA,removal,Recovered failed collar and replaced with a new one.,11/1/2019
MO_car009,f,NA,NA,NA,NA,Moberly,-122.4283635,55.62057375,General capture location.,NA,NA,removal,Recovered failed collar and replaced with a new one.,11/1/2019
KE_car011,f,NA,NA,NA,NA,Kennedy,-122.8276088,55.10060221,General capture location.,NA,NA,removal,Recovered failed GPS collar and replaced with a new one.,11/1/2019
QU_car014,f,NA,NA,NA,NA,Quintette,-121.0077883,54.93470448,NA,NA,NA,removal,NA,11/1/2019
