animal_id,sex,life_stage,pregnant,with_calf,death_cause,study_site,deploy_on_longitude,deploy_on_latitude,deploy_on_comments,deploy_off_longitude,deploy_off_latitude,deploy_off_type,deploy_off_comments,Date
KE_car127,f,3-Feb,NA,FALSE,NA,Kennedy,-122.499344,55.20449387,includ. CAR121 and new collar CAR 131,NA,NA,removal,NA,10/9/2019
NA_car132,f,5-Mar,NA,FALSE,Predation - Wolf,Narraway,-120.2226574,55.02934921,includ. CAR123 and new collar CAR 133; hair loss on shoulders and flanks resembles winter tick rubbing/no ticks observed,NA,NA,removal,NA,10/9/2019
NA_car133,f,6-Apr,NA,FALSE,NA,Narraway,-120.2299917,55.06321083,includ. CAR123 and new collar CAR 132,NA,NA,other,Lost,10/9/2019
NA_car134,f,3-Feb,NA,FALSE,NA,Narraway,-120.2158518,55.09471258,Group includ. CAR132 (with calf).,NA,NA,other,Lost,10/8/2019
QU_car136,f,6-Apr,NA,FALSE,Unknown,Quintette,-121.34178,55.00183461,"Poor condition, abundant hair breakage, no sign of warbles.",-121.3409496,54.92708982,dead,NA,10/8/2019
NA_car135,f,5-Mar,NA,FALSE,NA,Narraway,-120.2233712,55.09478544,Group includ. CAR132 (with calf) and CAR 134.,NA,NA,other,Lost,10/7/2019
QU_car140,f,6-Apr,NA,TRUE,Unknown,Quintette,-120.8727234,54.86135971,Group includ. CAR122 and CAR126.,-120.9557833,54.86864718,dead,NA,10/7/2019
QU_car138,f,6-Apr,NA,FALSE,NA,Quintette,-120.9595306,54.85339372,NA,NA,NA,removal,Recovered failed collar and replaced with a new one.,10/7/2019
QU_car146,f,5-Mar,NA,FALSE,NA,Quintette,-121.501847,55.16550381,Group includ. unidentified older collar.,NA,NA,removal,Recovered failed collar and replaced with a new one.,10/7/2019
QU_car142,f,5-Mar,NA,NA,NA,Quintette,-121.345603,55.12121526,Group includ. CAR125 and new collars CAR141 and CAR143.,NA,NA,other,Lost,10/7/2019
QU_car143,f,3-Feb,NA,FALSE,NA,Quintette,-121.3456004,55.12127813,"Group includ. CAR125, CAR141, and CAR142.",NA,NA,other,Lost,10/6/2019
BP_car144,f,5-Mar,NA,FALSE,NA,Burnt Pine,-122.3378226,55.43659136,Group includ. CAR 145; very rich terrestrial lichen supply on eastern lower slopes of Stephenson.,NA,NA,other,Lost,10/6/2019
QU_car139,f,5-Mar,NA,FALSE,NA,Quintette,-120.9074971,54.86148763,NA,NA,NA,other,Lost,10/6/2019
QU_car141,f,8-Jun,NA,TRUE,NA,Quintette,-121.3456004,55.12127813,Group includ. CAR125 and new collars CAR142 and CAR143.,NA,NA,other,Lost,10/6/2019
QU_car137,f,3-Feb,NA,FALSE,NA,Quintette,-120.9621918,54.86580666,"Heavy snowmobile activity in area (alpine, subalpine and below treeline)",NA,NA,removal,Recovered failed collar and replaced with a new one.,10/6/2019
BP_car145,f,7-May,NA,FALSE,Unknown,Burnt Pine,-122.3378226,55.43659136,Group includ. CAR 144;  snow depth in valley on west side of mtn = 1.3 metres; abundant arboreal lichen on subalpine fir.,NA,NA,dead,NA,10/5/2019
MO_car149,f,8-Jun,NA,FALSE,Unknown,Moberly,-122.4689794,55.85653501,Group includ. CAR103 (148.519).,-122.5139006,55.85274015,dead,NA,10/5/2019
MO_car147,f,5-Mar,NA,FALSE,NA,Moberly,-122.9456482,55.88340196,Group includ. CAR104 (148.410).,NA,NA,other,Infometrics,10/5/2019
MO_car148,f,7-May,NA,FALSE,Predation - Wolf,Moberly,-122.8140168,55.81067319,NA,-122.6399358,55.75019288,dead,NA,10/5/2019
MO_car151,f,12-Oct,NA,FALSE,Predation - Unknown predator,Moberly,-122.5905719,55.76011096,Group includ. CAR150; teeth worn down to gumline.,-122.5591136,55.82464929,dead,NA,10/5/2019
QU_car152,f,5-Mar,NA,FALSE,Predation - Unknown predator,Quintette,-121.471121,55.19920204,Group includ. CAR111 (149.689; recaptured to retrieve collar).,-121.3733638,55.09141106,dead,NA,10/5/2019
MO_car150,f,5-Mar,NA,FALSE,NA,Moberly,-122.5905719,55.76011096,Group includ. CAR151.,NA,NA,removal,NA,10/5/2019
KE_car153,f,6-Apr,NA,FALSE,Predation - Unknown predator,Kennedy,-122.5716669,55.25750006,NA,-122.360615,55.31908506,dead,NA,10/4/2019
KE_car154,f,3-Feb,NA,FALSE,NA,Kennedy,-122.4819354,55.19228975,NA,NA,NA,removal,NA,10/4/2019
KE_car157,f,8-Jun,NA,FALSE,"Accidental, Collar Still in Field, Inaccessible",Kennedy,-122.6124357,55.29278087,NA,-122.50196,55.18155998,dead,NA,10/4/2019
KE_car156,f,7-May,NA,FALSE,NA,Kennedy,-122.5317064,55.23312662,NA,NA,NA,removal,NA,10/4/2019
KE_car155,f,7-May,NA,TRUE,NA,Kennedy,-122.473701,55.19611859,NA,NA,NA,removal,NA,10/3/2019
QU_car158,f,6-Apr,NA,FALSE,Predation - Wolf,Quintette,-121.5281889,55.21495753,Mort recovery deployed on new caribou,-121.5405257,55.17077215,dead,NA,10/3/2019
MO_car150,f,5-Mar,NA,FALSE,NA,Moberly,-122.4578027,55.86300063,Redeployment of mortality recovery,NA,NA,removal,Recovered failed collar and replaced with a new one.,10/3/2019
QU_car146,f,5-Mar,NA,FALSE,NA,Quintette,-121.5281889,55.21495753,Recapture - failed Iridium 149.210 removed; replaced with new Iridium.,-121.4395426,55.06053482,dead,NA,10/2/2019
QU_car137,f,5-Mar,NA,FALSE,NA,Quintette,-121.0191177,54.87348105,Recapture - failed Iridium 149.220 removed; replaced with new Iridium.,NA,NA,removal,Recovered failed collar and replaced with a new one.,10/2/2019
QU_car159,f,5-Mar,NA,FALSE,NA,Quintette,-121.0076805,54.88920346,NA,NA,NA,removal,Recovered failed collar and replaced with a new one.,10/1/2019
MO_car161,f,15-Dec,NA,FALSE,NA,Moberly,-122.4742565,55.7780167,NA,NA,NA,other,Lost,10/1/2019
QU_car166,f,6-Apr,NA,FALSE,Predation - Grizzly,Quintette,-121.4484176,55.04264275,NA,-121.4929111,55.08105672,dead,NA,9/29/2019
QU_car163,f,6-Apr,NA,FALSE,Collar Still in Field,Quintette,-121.7747958,55.11353443,NA,NA,NA,dead,NA,9/28/2019
QU_car167,f,6-Apr,NA,FALSE,NA,Quintette,-121.3742375,55.14903049,NA,NA,NA,other,Lost,9/28/2019
MO_car150,f,6-Apr,NA,FALSE,NA,Moberly,-122.4763382,55.7892214,Recapture - failed Iridium 149.100 removed; replaced with new Iridium.,NA,NA,other,Infometrics,9/28/2019
SC_car171,f,8-Jun,NA,TRUE,NA,Scott,-123.3417703,55.87166322,"same group as car168, car169 &car170",NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/28/2019
SC_car170,f,3-Feb,NA,FALSE,Predation - Wolf,Scott,-123.3557102,55.85990702,same group as car168 & car169,-123.6158964,55.90501066,dead,NA,9/27/2019
SC_car168,f,8-Jun,NA,FALSE,NA,Scott,-123.3544805,55.85995549,NA,NA,NA,other,Infometrics,9/27/2019
SC_car169,f,10-Aug,NA,FALSE,Collar still in Field,Scott,-123.3554873,55.85998853,same group as car168,NA,NA,dead,NA,9/27/2019
QU_car138,f,8-Jun,NA,FALSE,NA,Quintette,-120.9754763,54.87250961,Recapture - failed Iridium 149.190 removed; replaced with VHF. No data provided for this deployment.,-120.9372347,54.86655374,dead,NA,9/27/2019
QU_car173,f,5-Mar,NA,FALSE,Predation - Wolf,Quintette,-121.0243436,54.85236249,NA,-121.4433879,54.79574748,dead,NA,9/27/2019
QU_car172,f,6-Apr,NA,FALSE,NA,Quintette,-121.0124525,54.83566555,NA,NA,NA,removal,NA,9/26/2019
QU_car137,f,5-Mar,NA,FALSE,NA,Quintette,-121.0151583,54.86460773,Recapture - failed Iridium 149.340 removed; replaced with VHF. No data provided for this deployment.,-121.4057557,54.883612,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/26/2019
QU_car175,f,NA,NA,TRUE,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/26/2019
QU_car159,f,NA,NA,FALSE,NA,Quintette,NA,NA,Removed and replaced Lotek Iridium 149.350,NA,NA,dead,NA,9/25/2019
NA_car178,f,NA,NA,FALSE,NA,Narraway,NA,NA,including car124 and new collar car179,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/25/2019
NA_car177,f,NA,NA,FALSE,NA,Narraway,NA,NA,Including Moberly 149.753 and unidentified failed Lotek Iridium,NA,NA,other,Lost,9/25/2019
NA_car179,f,NA,NA,FALSE,NA,Narraway,NA,NA,including car124 and new collar car178,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/25/2019
QU_car183,f,NA,NA,NA,Predation - Grizzly,Quintette,NA,NA,NA,-121.3508194,55.11177007,dead,NA,9/25/2019
QU_car181,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/25/2019
QU_car180,f,NA,NA,NA,Predation - Grizzly,Quintette,NA,NA,NA,-120.8748657,54.85562225,dead,NA,9/24/2019
QU_car182,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/24/2019
KE_car186,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/24/2019
KE_car187,f,NA,NA,NA,Vehicle Collision,Kennedy,NA,NA,NA,-122.8165356,55.12305172,dead,NA,9/24/2019
KE_car185,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/23/2019
KE_car156,f,NA,NA,FALSE,NA,Kennedy,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/23/2019
KE_car184,f,NA,NA,NA,Unknown,Kennedy,NA,NA,NA,NA,NA,dead,NA,9/23/2019
KE_car155,f,NA,NA,TRUE,NA,Kennedy,NA,NA,NA,NA,NA,other,Infometrics,9/23/2019
QU_car188,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/23/2019
QU_car190,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/23/2019
QU_car192,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/23/2019
QU_car189,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/23/2019
QU_car191,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/22/2019
QU_car172,f,NA,NA,FALSE,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/22/2019
QU_car194,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/21/2019
QU_car197,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/21/2019
QU_car195,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/21/2019
QU_car196,f,NA,NA,NA,NA,Quintette,NA,NA,NA,NA,NA,other,the tag remained deployed as of 7/31/2016 when data were sent to be added Movebank,9/20/2019
KE_car199,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,unknown,NA,9/20/2019
KE_car200,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,unknown,NA,9/20/2019
KE_car198,f,NA,NA,NA,NA,Kennedy,NA,NA,NA,NA,NA,unknown,NA,9/20/2019
,,,,,,,,,,,,,,9/20/2019
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
