Carnitas,4.85,Emily,,,,,,,,,,,,,,,,
California,4.99,Scott,,,,,,,,,,,,,,,,
Carne Asada,5,Scott,,,,,,,,,,,,,,,,
Carne Asada,5.25,Emily,,,,,,,,,,,,,,,,
Carne Asada,5.25,Ricardo,,,,,,,,,,,,,,,,
California,5.29,Scott,,,,,,,,,,,,,,,,
Carnitas,5.4,Emily,,,,,,,,,,,,,,,,
California ,5.45,Scott,,,,,,,,,,,,,,,,
California ,5.5,Ricardo,,,,,,,,,,,,,,,,
California ,5.55,Scott,,,,,,,,,,,,,,,,
Carne Asada ,5.56,Scott,,,,,,,,,,,,,,,,
California ,5.65,Scott,,,,,,,,,,,,,,,,
Carne Asada,5.69,Ricardo,,,,,,,,,,,,,,,,
California ,5.7,Scott,,,,,,,,,,,,,,,,
California,5.79,Scott,,,,,,,,,,,,,,,,
California ,5.95,Scott,,,,,,,,,,,,,,,,
Carnitas,5.95,Scott,,,,,,,,,,,,,,,,
Carnitas,5.99,Richard,,,,,,,,,,,,,,,,
California,5.99,Scott,,,,,,,,,,,,,,,,
California ,5.99,Scott,,,,,,,,,,,,,,,,
Carnitas,5.99,Scott,,,,,,,,,,,,,,,,
Carnitas,5.99,Scott,,,,,,,,,,,,,,,,
Carnitas,5.99,Scott,,,,,,,,,,,,,,,,
California,6.1,Scott ,,,,,,,,,,,,,,,,
California,6.25,Emily,,,,,,,,,,,,,,,,
California,6.25,Emily,,,,,,,,,,,,,,,,
California,6.25,Scott,,,,,,,,,,,,,,,,
California,6.25,Scott,,,,,,,,,,,,,,,,
California,6.25,Scott,,,,,,,,,,,,,,,,
California,6.25,Scott,,,,,,,,,,,,,,,,
Carne Asada,6.25,Scott,,,,,,,,,,,,,,,,
Carne Asada,6.25,Scott,,,,,,,,,,,,,,,,
California ,6.25,Scott ,,,,,,,,,,,,,,,,
California,6.35,Scott,,,,,,,,,,,,,,,,
California,6.39,Scott,,,,,,,,,,,,,,,,
California,6.4,Scott,,,,,,,,,,,,,,,,
Carne Asada,6.49,Emily,,,,,,,,,,,,,,,,
California ,6.49,Scott,,,,,,,,,,,,,,,,
Carne Asada,6.5,Ricardo,,,,,,,,,,,,,,,,
California,6.59,Scott,,,,,,,,,,,,,,,,
Carnitas,6.6,Emily,,,,,,,,,,,,,,,,
California,6.6,Ricardo,,,,,,,,,,,,,,,,
Carne Asada,6.6,Ricardo,,,,,,,,,,,,,,,,
Carne Asada,6.6,Ricardo,,,,,,,,,,,,,,,,
California,6.6,Scott,,,,,,,,,,,,,,,,
California,6.6,Scott,,,,,,,,,,,,,,,,
California ,6.6,Scott,,,,,,,,,,,,,,,,
Carnitas,6.6,Scott,,,,,,,,,,,,,,,,
California,6.65,Ricardo,,,,,,,,,,,,,,,,
Carnitas,6.7,Emily,,,,,,,,,,,,,,,,
California,6.75,Scott,,,,,,,,,,,,,,,,
Carne Asada,6.75,Scott,,,,,,,,,,,,,,,,
Carne Asada,6.75,Scott,,,,,,,,,,,,,,,,
California,6.85,Scott,,,,,,,,,,,,,,,,
California,6.85,Scott,,,,,,,,,,,,,,,,
California ,6.85,Scott,,,,,,,,,,,,,,,,
California,6.89,Scott,,,,,,,,,,,,,,,,
California ,6.89,Scott,,,,,,,,,,,,,,,,
California,6.9,Scott,,,,,,,,,,,,,,,,
