when,url,tracker
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,Rubicon
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,Advertising.com
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,Adobe Audience Manager
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,AdScale
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161002075949id_/http://cnn.com.de/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161002193319id_/http://drugsofficial.com/,ScoreCard Research Beacon
before-nov-2016,http://wayback.archive.org/web/20161002193319id_/http://drugsofficial.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161002193319id_/http://drugsofficial.com/,Quantcast
before-nov-2016,http://wayback.archive.org/web/20161002193319id_/http://drugsofficial.com/,RevContent
before-nov-2016,http://wayback.archive.org/web/20161002193319id_/http://drugsofficial.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161002193319id_/http://drugsofficial.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161002193319id_/http://drugsofficial.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161002193319id_/http://drugsofficial.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161002193319id_/http://drugsofficial.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161020091758id_/http://en.mediamass.net/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161020091758id_/http://en.mediamass.net/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161020091758id_/http://en.mediamass.net/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161020091758id_/http://en.mediamass.net/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161020091758id_/http://en.mediamass.net/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161002094725id_/http://everydaybreakingnews.com/,ScoreCard Research Beacon
before-nov-2016,http://wayback.archive.org/web/20161002094725id_/http://everydaybreakingnews.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161002094725id_/http://everydaybreakingnews.com/,Quantcast
before-nov-2016,http://wayback.archive.org/web/20161002094725id_/http://everydaybreakingnews.com/,RevContent
before-nov-2016,http://wayback.archive.org/web/20161002094725id_/http://everydaybreakingnews.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161002094725id_/http://everydaybreakingnews.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161002094725id_/http://everydaybreakingnews.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161002094725id_/http://everydaybreakingnews.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161002094725id_/http://everydaybreakingnews.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161003075742id_/http://folksvideo.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161003075742id_/http://folksvideo.com/,RevContent
before-nov-2016,http://wayback.archive.org/web/20161003075742id_/http://folksvideo.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161003075742id_/http://folksvideo.com/,Advertise.com
before-nov-2016,http://wayback.archive.org/web/20161003075742id_/http://folksvideo.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161003075742id_/http://folksvideo.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161003075742id_/http://folksvideo.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,ScoreCard Research Beacon
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,Aggregate Knowledge
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,TradeDesk
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,BlueKai
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,Quantcast
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,Taboola
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,AddThis
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,RevContent
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,Taboola
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,AddThis
before-nov-2016,http://wayback.archive.org/web/20161008132117id_/http://mrnewswatch.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,ScoreCard Research Beacon
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,Spoutable
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,TradeDesk
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,Teads
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,Quantcast
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,Taboola
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,eXelate
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,AddThis
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,RevContent
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,TubeMogul
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,MediaMath
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,AddThis
before-nov-2016,http://wayback.archive.org/web/20161013230352id_/http://persecutes.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,ScoreCard Research Beacon
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,Aggregate Knowledge
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,TradeDesk
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,BlueKai
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,Quantcast
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,Taboola
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,AddThis
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,RevContent
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,Taboola
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,AddThis
before-nov-2016,http://wayback.archive.org/web/20161023164734id_/http://smhwtfnews.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161006014029id_/http://thefrt.com/,ScoreCard Research Beacon
before-nov-2016,http://wayback.archive.org/web/20161006014029id_/http://thefrt.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161006014029id_/http://thefrt.com/,Quantcast
before-nov-2016,http://wayback.archive.org/web/20161006014029id_/http://thefrt.com/,Taboola
before-nov-2016,http://wayback.archive.org/web/20161006014029id_/http://thefrt.com/,AddThis
before-nov-2016,http://wayback.archive.org/web/20161006014029id_/http://thefrt.com/,RevContent
before-nov-2016,http://wayback.archive.org/web/20161006014029id_/http://thefrt.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161006014029id_/http://thefrt.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161006014029id_/http://thefrt.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161006014029id_/http://thefrt.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161006014029id_/http://thefrt.com/,AddThis
before-nov-2016,http://wayback.archive.org/web/20161006014029id_/http://thefrt.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161013092536id_/http://tmzcomedy.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161013092536id_/http://tmzcomedy.com/,RevContent
before-nov-2016,http://wayback.archive.org/web/20161013092536id_/http://tmzcomedy.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161013092536id_/http://tmzcomedy.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161013092536id_/http://tmzcomedy.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161013092536id_/http://tmzcomedy.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161013092536id_/http://tmzcomedy.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,ScoreCard Research Beacon
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,Aggregate Knowledge
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,TradeDesk
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,BlueKai
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,Quantcast
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,Taboola
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,AddThis
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,RevContent
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,Taboola
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,DoubleClick
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,Google Syndication
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,DoubleClick Ad Exchange-Seller
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,Kixer
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,AddThis
before-nov-2016,http://wayback.archive.org/web/20161007135423id_/http://viralpropaganda.com/,Google Adsense
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Tapad
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Admeta
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,ScoreCard Research Beacon
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,RadiumOne
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Turn Inc.
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Sonobi
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,BlueKai
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,BidSwitch
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Adform
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,StickyAds
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,BrightRoll
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,AdGear
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,ShareThis
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,Aggregate Knowledge
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,SMART AdServer
before-nov-2016,http://wayback.archive.org/web/20161005225043id_/http://abcnews.com.co/,TradeDesk
