Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
1982 ,221999 ,AVOCADOS ALL ,111 ,Ventura ,12748 ,1.40 ,17847 ,900 ,TONS ,16063000
1981 ,221999 ,AVOCADOS ALL ,19 ,Fresno ,328 ,2.40 ,787 ,327 ,TONS ,257000
1981 ,221999 ,AVOCADOS ALL ,29 ,Kern ,186 ,2.68 ,498 ,482 ,TONS ,240000
1981 ,221999 ,AVOCADOS ALL ,37 ,Los Angeles ,710 ,3.00 ,2130 ,520 ,TONS ,1107600
1981 ,221999 ,AVOCADOS ALL ,59 ,Orange ,1012 ,4.76 ,4817 ,520 ,TONS ,2504800
1981 ,221999 ,AVOCADOS ALL ,65 ,Riverside ,6700 ,2.94 ,19720 ,414 ,TONS ,8171900
1981 ,221999 ,AVOCADOS ALL ,71 ,San Bernardino ,105 ,4.00 ,420 ,252 ,TONS ,106000
1981 ,221999 ,AVOCADOS ALL ,73 ,San Diego ,27050 ,3.00 ,81150 ,553 ,TONS ,44876000
1981 ,221999 ,AVOCADOS ALL ,79 ,San Luis Obispo ,833 ,1.12 ,933 ,520 ,TONS ,485000
1981 ,221999 ,AVOCADOS ALL ,83 ,Santa Barbara ,5630 ,8.60 ,48418 ,580 ,TONS ,28082440
1981 ,221999 ,AVOCADOS ALL ,107 ,Tulare ,1546 ,4.03 ,6230 ,480 ,TONS ,2990000
1981 ,221999 ,AVOCADOS ALL ,111 ,Ventura ,12100 ,4.31 ,52151 ,520 ,TONS ,27100000
1980 ,221999 ,AVOCADOS ALL ,19 ,Fresno ,324 ,2.48 ,804 ,568 ,TONS ,457000
1980 ,221999 ,AVOCADOS ALL ,29 ,Kern ,240 ,3.28 ,788 ,500 ,TONS ,394000
1980 ,221999 ,AVOCADOS ALL ,37 ,Los Angeles ,710 ,0.70 ,497 ,1880 ,TONS ,934400
1980 ,221999 ,AVOCADOS ALL ,59 ,Orange ,1008 ,1.10 ,1109 ,1882 ,TONS ,2087100
1980 ,221999 ,AVOCADOS ALL ,65 ,Riverside ,5552 ,0.59 ,3249 ,1250 ,TONS ,4060700
1980 ,221999 ,AVOCADOS ALL ,71 ,San Bernardino ,120 ,4.06 ,487 ,528 ,TONS ,257000
1980 ,221999 ,AVOCADOS ALL ,73 ,San Diego ,24820 ,2.00 ,49640 ,1300 ,TONS ,64532000
1980 ,221999 ,AVOCADOS ALL ,79 ,San Luis Obispo ,737 ,0.54 ,398 ,1930 ,TONS ,768000
1980 ,221999 ,AVOCADOS ALL ,83 ,Santa Barbara ,5367 ,5.04 ,27050 ,2050 ,TONS ,55452500
1980 ,221999 ,AVOCADOS ALL ,107 ,Tulare ,1421 ,1.78 ,2530 ,580 ,TONS ,1467000
1980 ,221999 ,AVOCADOS ALL ,111 ,Ventura ,10917 ,0.77 ,8440 ,1881 ,TONS ,15879000







