filename,path,extension,size,mime_type,modified_date
frostedflakes.csv,DS102-Statistical-Programming-in-R/Data/frostedflakes.csv,csv,1469,text/csv,2020-03-17 14:36:52
LakeHuron.csv,DS102-Statistical-Programming-in-R/Data/LakeHuron.csv,csv,1179,text/csv,2022-03-17 11:04:22
burritos.csv,DS105-Intermediate-Statistics/Workshops/Week-2/04-Covariates/burritos.csv,csv,68223,text/csv,2021-06-28 01:59:00
bigTacos.csv,DS105-Intermediate-Statistics/Workshops/Week-2/04-Covariates/bigTacos.csv,csv,4297,text/csv,2021-06-28 01:59:00
upholstery.csv,DS105-Intermediate-Statistics/Workshops/Week-1/02-Advanced-Chi-Squares/upholstery.csv,csv,832,text/csv,2021-06-28 01:59:00
BorderCrossing.csv,DS105-Intermediate-Statistics/Workshops/Week-1/03-One-Way-ANOVAs-in-R/BorderCrossing.csv,csv,24958168,text/csv,2021-06-28 01:59:00
Auto.csv,DS105-Intermediate-Statistics/Examples/Team-Examples/ISLR2/Auto.csv,csv,19004,text/csv,2021-03-15 20:06:53
breakfast.csv,DS105-Intermediate-Statistics/Data/breakfast.csv,csv,44516,text/csv,2021-09-20 18:07:12
cellPhone.csv,DS105-Intermediate-Statistics/Data/cellPhone.csv,csv,420787,text/csv,2021-09-20 18:07:12
suicide.csv,DS105-Intermediate-Statistics/Data/suicide.csv,csv,2706377,text/csv,2019-06-26 17:29:34
graduate_admissions.csv,DS105-Intermediate-Statistics/Data/graduate_admissions.csv,csv,12504,text/csv,2021-09-20 18:07:12
London_hotel_reviews.csv,DS105-Intermediate-Statistics/Data/London_hotel_reviews.csv,csv,22820803,text/csv,2021-09-20 18:07:11
NEWgoogleplaystore.csv,DS105-Intermediate-Statistics/Data/NEWgoogleplaystore.csv,csv,1581869,text/csv,2021-07-13 09:58:22
anime.csv,DS105-Intermediate-Statistics/Data/anime.csv,csv,6275613,text/csv,2021-09-20 18:07:11
kickstarter.csv,DS105-Intermediate-Statistics/Data/kickstarter.csv,csv,43554177,text/csv,2019-04-12 14:56:44
BorderCrossing.csv,DS105-Intermediate-Statistics/Data/BorderCrossing.csv,csv,24958168,text/csv,2021-06-28 01:59:00
YouTubeChannels.csv,DS105-Intermediate-Statistics/Data/YouTubeChannels.csv,csv,252762,text/csv,2021-09-20 18:07:11
heartAttacks.csv,DS105-Intermediate-Statistics/Data/heartAttacks.csv,csv,11024,text/csv,2023-01-17 16:19:39
YouTubeChannels_Python.csv,DS105-Intermediate-Statistics/Data/YouTubeChannels_Python.csv,csv,243715,text/csv,2021-09-20 18:07:11
studentSurveyCodebook.csv,DS105-Intermediate-Statistics/Data/studentSurveyCodebook.csv,csv,3613,text/csv,2021-09-20 18:07:12
power_lifting.csv,DS105-Intermediate-Statistics/Data/power_lifting.csv,csv,29739221,text/csv,2021-09-20 18:07:12
burritos.csv,DS105-Intermediate-Statistics/Data/burritos.csv,csv,68223,text/csv,2021-06-28 01:59:00
loans.csv,DS105-Intermediate-Statistics/Data/loans.csv,csv,1136479,text/csv,2021-09-20 18:07:12
