notebook,vimeo_count,youtube_count
DS102-Statistical-Programming-in-R/Workshops/Week-1/01-Problem-Solving/Problem-Solving-with-Polya.ipynb,0,0
DS102-Statistical-Programming-in-R/Workshops/Week-1/Common-Errors-in-R/Warnings.ipynb,0,0
DS102-Statistical-Programming-in-R/Workshops/Week-1/Common-Errors-in-R/CommonErrors.ipynb,0,0
DS102-Statistical-Programming-in-R/Errata/DS102-Change-Log.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch8-baggboost-lab.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch7-nonlin-lab.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch10-deeplearning-lab-keras.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch3-linreg-lab.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch4-classification-lab.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch5-resample-lab.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch10-deeplearning-lab-torch.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch9-svm-lab.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch6-varselect-lab.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch11-surv-lab.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch13-multiple-lab.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch2-statlearn-lab.ipynb,0,0
DS102-Statistical-Programming-in-R/Books/ISLR/Ch12-unsup-lab.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L3-R-Vector-Arithmetic-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L3-ForLoop-Handson-Helper.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L3-Examples-variables-functions-for-Loops-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L7-t-test-link-and-example.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L3-Draft.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L6-Data-Frame-my-pets.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L5-ggplot-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L9-HandsOnHelperR.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L3-Lists-and-Looping-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L7-GreatLakes-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Radius-Vector-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L2-Install-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L7-P2-Frosted-FlakesR.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L3-Misc-Functions-for-Loops-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L2-Beginning-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L7-Hands-on-Helper-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L3-Creating-Functions-in-RStudio-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L9-P1-3-Comparing-Countries-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Data-Analysis-and-Graphics-Using-R-Section-2.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L4-Vectors-Sample-Stats-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Cairo.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Data-Analysis-and-Graphics-Using-R-Section-1.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/DS102-L5-Plotting-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Python-R-Same-Notebook-Example.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Importing-Data-RStudio.ipynb,1,0
DS102-Statistical-Programming-in-R/Examples/DS102-L7-Example-nhtempBoxplots-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Team-Examples/Nolan/Plotting in R with ggplot2.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Team-Examples/Julie-DS0102-Stat-Prog-R/Stat-R-Final.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Team-Examples/Julie-DS0102-Stat-Prog-R/DS104-Data-Wrangling-Visualization-L2.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Team-Examples/Julie-DS0102-Stat-Prog-R/Data-Structures-in-R.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Team-Examples/Julie-DS0102-Stat-Prog-R/DS0102-L6.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Team-Examples/Julie-DS0102-Stat-Prog-R/DS0102-Final.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Team-Examples/Julie-DS0102-Stat-Prog-R/DS0102-L4.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Team-Examples/Julie-DS0102-Stat-Prog-R/DS0102-L3.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Team-Examples/Julie-DS0102-Stat-Prog-R/DS0102-L5.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Team-Examples/Julie-DS0102-Stat-Prog-R/DS0102-L7.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Team-Examples/Emily/HelperLesson5HandsOn.ipynb,0,0
DS102-Statistical-Programming-in-R/Examples/Team-Examples/Mia/Image-Link-Basics.ipynb,0,0
DS105-Intermediate-Statistics/DS105-L3-Chi-Squares.ipynb,1,0
DS105-Intermediate-Statistics/DS105-L5-Repeated-Measures-Anovas.ipynb,2,0
DS105-Intermediate-Statistics/DS105-L1-Python-Basic-Stats.ipynb,7,0
DS105-Intermediate-Statistics/DS105-L7-Ancovas.ipynb,4,0
DS105-Intermediate-Statistics/DS105-L9-Power-Analysis.ipynb,1,0
DS105-Intermediate-Statistics/DS105Questions.ipynb,0,0
DS105-Intermediate-Statistics/DS105-L8-Manovas.ipynb,4,0
DS105-Intermediate-Statistics/DS105-L4-Anovas.ipynb,7,0
DS105-Intermediate-Statistics/DS105-L2-Normality-and-Transformations.ipynb,5,0
DS105-Intermediate-Statistics/DS105-L6-Mixed-Measures-Anovas.ipynb,2,0
DS105-Intermediate-Statistics/DS105L10-Intermediate-Statistics-Final.ipynb,0,0
DS105-Intermediate-Statistics/Workshops/Various.ipynb,0,0
DS105-Intermediate-Statistics/Workshops/Week-3/06-Final-Project/Final-Project-in-Python.ipynb,1,0
DS105-Intermediate-Statistics/Workshops/Week-2/04-Covariates/Covariates-in-R.ipynb,0,0
DS105-Intermediate-Statistics/Workshops/Week-2/One-Way-ANOVAs-in-Python/One-Way-ANOVAs-in-Python.ipynb,0,0
DS105-Intermediate-Statistics/Workshops/Week-1/02-Advanced-Chi-Squares/Advanced-Chi-Squares-in-R.ipynb,0,0
DS105-Intermediate-Statistics/Workshops/Week-1/01-Basic-Statistics-in-Python/Basic-Statistics-Python.ipynb,1,0
DS105-Intermediate-Statistics/Workshops/Week-1/03-One-Way-ANOVAs-in-R/One-Way-ANOVA-in-R.ipynb,0,0
DS105-Intermediate-Statistics/Errata/DS105-Change-Log.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Summary-Digest-Intermediate-Statistics.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L5-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L2-BoxCox-Transformations-P.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L1-PY-Examples.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L6-All-Pages-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L5-Hands-On-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L6-Repeated-ANOVA-Honey-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L3-Hands-On-Loans-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/T-Tests-Python-and-R.ipynb,1,0
DS105-Intermediate-Statistics/Examples/DS105-L9-Hands-On-Helper.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Lesson6-Solution.ipynb,0,0
DS105-Intermediate-Statistics/Examples/Untitled.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L2-Page-Transforming-Data-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L1-P19-Hands-On-anime-P.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105L10-Hands-On-Helper-P.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L1-exploring-the-anime-dataset.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L4-P4-5-Diff-Example-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L4-P1-7-R.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L3-All-Examples-P.ipynb,0,0
DS105-Intermediate-Statistics/Examples/L04handsonPython_AvgPrice.ipynb,0,0
DS105-Intermediate-Statistics/Examples/DS105-L2-Hands-On-Seattle-ParksnRec-R.ipynb,0,0
